study,authors,year,protocol,genus,species,class,sex,exclude,notes
S1,Oliveria et al,2011,self,Danio,Danio rerio,fish,male,,
S10,Huang et al,2011,random,Kryptolebias ,Kryptolebias marmoratus,fish,hermaphrodite,,
S11,Lan & Hsu,2011,random,Kryptolebias ,Kryptolebias marmoratus,fish,hermaphrodite,,
S12,Trannoy et al,2016,self,Drosophila,Drosophila melanogaster,insect,male,,
S13,Kou et al,2019,self,Nauphoeta,Nauphoeta cinerea,insect,male,,
S13,Kou et al,2019,self,Nauphoeta,Nauphoeta cinerea,insect,male,,
S14,Goubault & Decuigniere,2012,random,Eupelmus,Eupelmus vuilleti,insect,female,,
S15,Cook & Moore,2009,self,Orconectes,Orconectes rusticus,crustacean,male,,
S18,Okada et al,2010,self,Gnatocerus,Gnatocerus cornutus,insect,male,,
S19,Garcia et al,2014,random,Anolis,Anolis carolinensis,reptile,male,,
S2,Lehner et al,2011,random,Rattus,Rattus norvegicus,mammal,male,,
S20,Benelli et al,2015,self,Bactrocera,Bactrocera oleae,insect,male,,
S21,Egge & Swallow,2011,random,Teleopsis,Teleopsis dalmanni,insect,male,,
S22,Seebacher & Wilson,2007,self,Procambarus,Procambarus clarkii,crustacean,male,,
S23,Kasumovic et al,2009,self,Phidippus,Phidippus clarus,arachnid,male,,
S24,van Lieshout et al,2009,self,Euborellia,Euborellia brunneri ,insect,male,,
S25,Li et al,2014,self,Kryptolebias ,kryptolebias marmoratus,fish,hermaphrodite,exclude,not naïve competitor? Noah is checking
S26,Momohara et al,2013,self,Procambarus,Procambarus clarkii,crustacean,male,,
S27,Bergman et al,2003,random,Orconectes,Orconectes rusticu,crustacean,male,,
S28,Beacham & Newman,1987,self,Lepomis,Lepomis gibbosus,fish,male,,
S29,Schuett,1997,self,Agkistrodon,Agkistrodon contortrix,reptile,male,,
S3,Yurkovic et al,2006,self,Drosophila,Drosophila melanogaster,insect,male,,
S30,Goubault et al,2019,self,Eupelmus,Eupelmus vuilleti,insect,female,,
S31,Baker & Sevenster,1989,random,Gasterosteu,Gasterosteus muleatus,fish,male,,
S32,Francis,1983,random,Macropodus,Macropodus opercularis,fish,male,,
S33,Early & Dugatkin,2002,self,Xiphophorus,hellerii,fish,male,,
S34,Li et al,2023,random,Kryptolebias,marmoratus,fish,hemaphrodite,,
S35,Amino & Matsuo,2023,self,Drosophila,melanogaster,insect,male,,
S36,Wu et al,2021,self,Portunus,trituberculatus,crustacean,male,,
S37,Xu et al,2021,random,Sebastes,schlegelii,reptile,NA,,
S38,Yasuda,2020,self,Pagurus,minutus,crustacean,male,,
S4,Oliveria et al,2009,self,Oreochromis ,Oreochromis mossambicus,fish,male,,
S5,Kasumovic et al,2010,random,Phidippus,Phidippus clarus,arachnid,male,,
S6,Hsu et al,2009,random,Kryptolebias ,Kryptolebias marmoratus,fish,hermaphrodite,,
S7,Benelli et al,2015,random,Ceratitis,Ceratitis capitata,insect,male,exclude,
S8,Garcia et al,2012,self,Anolis,Anolis carolinensis,reptile,male,,
S9,Bang & Gadagkar,2016,random,Ropalidia,Ropalidia maginata,insect,female,,
